OBJECTID_1,Shape,OBJECTID,DEQ_NUMBER,SPRING_NAME,LATNAD83DD,LONGNAD83D,,,,OBJECTID,SITENO,SITENAME,CATEGORY,AGENCY,LATDD,LONGDD,
1481,,1296,183-00130,FOGLEMAN SPRING - TOWN OF LEBANON,36.89960712,-82.10897404,,,,165,375306079001401,38MS  1,SP,USGS,37.8851386,-79.0036362,78
1525,,1406,186-00824,CAVE SPRING,36.90079691,-81.61141191,14,,,166,375401081013601, Fay-0220S,SP,USGS,37.90039225,-81.0264856,
1521,,1399,186-00817,ELKHORN SPRINGS - SMYTH COUNTY PUBLIC SERVICE AUTHORITY,36.90867508,-81.71648647,,,,167,375524078575801,39MS  3,SP,USGS,37.92347189,-78.96585748,79
1074,,1543,198-00206,JOSEPH STAYLEY SPRING,36.90922595,-81.27438701,,,,169,375652078545701,39MS  2,SP,USGS,37.9479165,-78.9155787,
1563,,1527,197-00701,MINE DRAIN TO LOONEY CREEK,36.9162065,-82.82238349,,,,168,375603078542101,39MS  1,SP,USGS,37.949861,-78.9053007,
1487,,1302,183-00136,ROARING SPRING,36.917055,-82.001794,,  ,,170,375807077322201,50MS001,SP,USGS,37.96874896,-77.5391504,80
1069,,1538,198-00200,BOILING SPRING,36.93067677,-80.89618904,15,,,171,375810077320901,50MS002,SP,USGS,37.96958224,-77.5355391,81
1070,,1539,198-00201,HARKRADER SPRING,36.93067678,-80.8942445,,,,172,375812078535201,39MS  4,SP,USGS,37.9701386,-78.8975229,82
1394,,551,133-00823,NPS SMARTVIEW P A SPRING,36.93124614,-80.18532153,16,,,173,375840080224001, Grb-0249S,SP,USGS,37.97789787,-80.377576,
1395,,539,131-00025,ETHEL DULANEY (SPRING),36.93408901,-80.44588976,,,,174,375901080363601, Grb-0250S,SP,USGS,37.9837293,-80.6098068,
1071,,1540,198-00202,NATIONAL FISH HATCHER SPRING,36.93428772,-80.90313384,17,,,175,380012080561701, Fay-0252S,SP,USGS,38.0034471,-80.9378735,
1523,,1401,186-00819,BIG SPRING ON NORTH FORK HOLSTON RIVER,36.93428865,-81.47288187,,,,176,380124077524801,47NS  1,SP,USGS,38.0235278,-77.8797199,83
1396,,540,131-00026,POSEY M WEEKS (SPRING),36.94228628,-80.46066652,,,,177,380140077350301,50W 82G,SP,USGS,38.02791444,-77.5838743,84
1077,,1547,198-00210,BEAVER SPRING,36.95071199,-80.98131359,,,,178,380255079195601,36NS  2,SP,USGS,38.04878517,-79.3320504,85
711,,984,177-00903,RIGNEY SPRING,36.96478859,-80.64604957,,,,179,380311078555201,39NS  1,SP,USGS,38.05291675,-78.9315132,86
