agency_cd,site_no,site_number,station_nm,site_tp_cd,lat,long,dec_coord_datum_cd,district_cd,state,county_cd
USGS,4.13027E+14,413027073431701,P1159,SP,41.5075933,-73.720964,NAD83,36,NY,79
USGS,4.13028E+14,413028073384801,P1167,SP,41.5078713,-73.6462395,NAD83,36,NY,79
USGS,4.13028E+14,413028073384802,P1168,SP,41.5078713,-73.6462395,NAD83,36,NY,79
USGS,4.13029E+14,413029073394101,P1158,SP,41.50814905,-73.66096218,NAD83,36,NY,79
USGS,4.1303E+14,413030073330201,P1163,SP,41.50842715,-73.5501254,NAD83,36,NY,79
USGS,4.1303E+14,413030073330202,P1164,SP,41.50842715,-73.5501254,NAD83,36,NY,79
USGS,4.13056E+14,413056073343001,P1162,SP,41.5156493,-73.5745706,NAD83,36,NY,79
USGS,4.13122E+14,413122073351401,P1166,SP,41.5228715,-73.5867932,NAD83,36,NY,79
USGS,4.14245E+14,414245074433201,SV  36SP,SP,41.71258977,-74.7251619,NAD83,36,NY,105
USGS,4.14344E+14,414344074411001,SV  33SP,SP,41.72897918,-74.6857168,NAD83,36,NY,105
USGS,4.14515E+14,414515074204501,U1675,SP,41.7544222,-74.3459611,NAD83,36,NY,111
USGS,4.14516E+14,414516074204601,U1632 Quicksand spring,SP,41.75443056,-74.3462111,NAD83,36,NY,111
USGS,4.14517E+14,414517074203801,U1633 MP1 spring,SP,41.75463056,-74.3439306,NAD83,36,NY,111
USGS,4.14518E+14,414518074203401,U1667 MP2A spring,SP,41.75503889,-74.3427694,NAD83,36,NY,111
USGS,4.14528E+14,414528074210201,U1668 Wawarsing spring 1,SP,41.75799444,-74.35075,NAD83,36,NY,111
USGS,4.14534E+14,414534074205402,U1665 Smith basement spring,SP,41.7595,-74.3483333,NAD83,36,NY,111
USGS,4.14543E+14,414543074205502,U1666 Lennon basement spring,SP,41.76198056,-74.34886389,NAD83,36,NY,111
USGS,4.14554E+14,414554074493601,SV  38SP,SP,41.76508874,-74.826274,NAD83,36,NY,105
USGS,4.14559E+14,414559075032200,SV 531SP,SP,41.76647715,-75.0557229,NAD83,36,NY,105
USGS,4.14724E+14,414724074464400,SV 532SP,SP,41.7900889,-74.7784952,NAD83,36,NY,105
USGS,4.14743E+14,414743074465801,SV  12SP,SP,41.7953667,-74.782384,NAD83,36,NY,105
USGS,4.1491E+14,414910074473001,SV  40SP,SP,41.81953338,-74.7912727,NAD83,36,NY,105
USGS,4.15007E+14,415007074443201,SV  52SP,SP,41.835367,-74.7418272,NAD83,36,NY,105
