agency,gross,site_number,sample_dt,sample_tm,p00060,p00630,p00631
USGS,3.75807E+14,375807077322201,3/14/2001,11:45,,,0.057
USGS,3.7581E+14,375810077320901,3/14/2001,16:30,,,0.723
USGS,3.64031E+14,364031083040401,11/17/1997,14:00,,,1.04
USGS,3.64729E+14,364729081531101,11/12/1997,14:00,,,2.13
USGS,3.64754E+14,364754082355701,11/13/1997,12:00,,,0.15
USGS,3.65154E+14,365154082150101,11/19/1997,11:00,,,0.73
USGS,3.83216E+14,383216078572801,8/19/1998,12:00,,,2.81
USGS,3.83216E+14,383216078572801,11/9/1998,10:00,,,2.27
USGS,3.83216E+14,383216078572801,2/2/1999,13:00,,,2.68
USGS,3.83216E+14,383216078572801,3/18/1999,17:30,,,4.73
USGS,3.83216E+14,383216078572801,4/14/1999,10:30,,,1.65
USGS,3.83216E+14,383216078572801,4/19/1999,13:30,,,1.79
USGS,3.83216E+14,383216078572801,6/8/1999,12:30,,,2.24
USGS,3.83216E+14,383216078572801,6/30/1999,14:20,,,2.24
USGS,3.83216E+14,383216078572801,8/11/1999,12:00,,,2.15
USGS,3.83216E+14,383216078572801,9/20/1999,12:30,,,2.87
USGS,3.83216E+14,383216078572801,11/3/1999,12:00,,,2.91
USGS,3.83216E+14,383216078572801,12/20/1999,13:30,,,1.36
USGS,3.83216E+14,383216078572801,2/2/2000,14:00,,,2.13
USGS,3.83216E+14,383216078572801,3/14/2000,12:15,,,1.14
USGS,3.83216E+14,383216078572801,4/17/2000,15:00,,,1.24
USGS,1632802,1632802,5/21/2012,19:05,,,5.28
USGS,1632802,1632802,7/18/2012,12:45,,,5.46
USGS,1632802,1632802,11/6/2012,18:00,,,5.61
USGS,1632802,1632802,1/29/2013,14:45,,,6.03
USGS,1632802,1632802,5/1/2013,10:30,,,7.13
USGS,1632802,1632802,5/28/2014,13:00,,,6.31
USGS,1632802,1632802,10/8/2014,18:00,,,6.23
USGS,1632802,1632802,3/18/2015,11:30,,,6.94
USGS,1632802,1632802,6/10/2015,19:15,,,6.64
USGS,1632802,1632802,3/3/2016,8:45,,,6.57
USGS,1632802,1632802,7/12/2016,16:30,,,5.69
USGS,1632802,1632802,9/20/2016,14:45,,,6.65
USGS,1632802,1632802,12/15/2016,11:15,,,6.22
USGS,1632802,1632802,3/21/2017,14:30,,,6.4
USGS,1632802,1632802,7/18/2017,16:30,,,6.52
USGS,1632802,1632802,11/14/2017,15:30,,,5.87
USGS,1632802,1632802,2/20/2018,15:45,,,6.02
USGS,1632802,1632802,8/29/2018,15:15,,,6.31
USGS,1632802,1632802,10/24/2018,8:00,,,6.08
USGS,1632802,1632802,2/5/2019,14:45,,,6.21
USGS,1632802,1632802,5/29/2019,14:15,,,5.73
USGS,1632802,1632802,8/15/2019,13:30,,,5.9
USGS,1632835,1632835,5/21/2012,20:00,,,1.2
USGS,1632835,1632835,7/19/2012,13:30,,,1.39
USGS,1632835,1632835,11/6/2012,17:15,,,1.17
USGS,1632835,1632835,1/29/2013,14:00,,,1.45
USGS,1632835,1632835,5/1/2013,9:30,,,1.54
USGS,1632835,1632835,5/28/2014,11:15,,,2.54
USGS,1632835,1632835,10/8/2014,17:00,,,1.47
USGS,1632835,1632835,3/18/2015,13:00,,,2.25
USGS,1632835,1632835,6/10/2015,18:00,,,1.5
USGS,1632835,1632835,3/3/2016,7:45,,,3.28
USGS,1632835,1632835,7/12/2016,18:30,,,1.96
USGS,1632835,1632835,9/20/2016,14:00,,,1.76
USGS,1632835,1632835,12/15/2016,10:30,,,1.44
USGS,1632835,1632835,3/21/2017,13:30,,,1.14
