agency,gross,site_number,station,site_type,lat,long,dec_coord_datum_cd,district_cd,state,county_cd,map_nm,huc_cd
USGS,3.70528E+14,370528082025701,14ES  1 HESS DRIVEWAY SPG,SP,37.09122126,-82.04901879,NAD83,51,VA,27,,5070202
USGS,3.70554E+14,370554082022001,14ES  5,SP,37.09844367,-82.0387405,NAD83,51,VA,27,,5070202
USGS,3.70626E+14,370626082022101,14ES  3 MARTIN BATH SPG,SP,37.1073326,-82.03901839,NAD83,51,VA,27,,5070202
USGS,3.70637E+14,370637082032401,14ES  6,SP,37.11038798,-82.0565194,NAD83,51,VA,27,,5070202
USGS,3.70639E+14,370639082025601,14ES  8,SP,37.1109436,-82.0487412,NAD83,51,VA,27,,5070202
USGS,3.70641E+14,370641082023801,14ES  9,SP,37.11149925,-82.0437409,NAD83,51,VA,27,,5070202
USGS,3.70713E+14,370713082051001,14ES 13 HARRY PRESLEY SPG,SP,37.1203877,-82.0859655,NAD83,51,VA,27,,5070202
USGS,3.70815E+14,370815082035501,14FS  7 ELBERT WAMPLER SP,SP,37.1376103,-82.0651311,NAD83,51,VA,27,,5070202
USGS,3.70906E+14,370906082053201,14FS  5 BARON SPG,SP,37.1517768,-82.0920771,NAD83,51,VA,27,,5070202
USGS,3.70947E+14,370947082041201,14FS  1,SP,37.16316605,-82.0698538,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71013E+14,371013082052201,14FS  8,SP,37.17038815,-82.0892994,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71103E+14,371103082050701,14FS  4,SP,37.1842772,-82.0851326,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71117E+14,371117082060101,14FS  3,SP,37.188166,-82.1001334,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71119E+14,371119080030401,30FS  1,SP,37.1759696,-80.0630942,NAD83,51,VA,161,BENT MOUNTAIN,3010101
USGS,3.71133E+14,371133082061701,14FS  2,SP,37.19261048,-82.1045781,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71208E+14,371208076301501,58FS 50,SP,37.20236715,-76.5038396,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71211E+14,371211076315301,58FS 14,SP,37.20320078,-76.5310627,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71213E+14,371213076320401,58FS 25,SP,37.20375637,-76.5341184,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71223E+14,371223076311501,58FS 27,SP,37.20653395,-76.5205068,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71242E+14,371242076312101,58FS 28,SP,37.21181167,-76.5221735,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71252E+14,371252076351701,58FS  6,SP,37.21459019,-76.5877311,NAD83,51,VA,700,YORKTOWN,2080206
USGS,3.71305E+14,371305076300801,58FS 26,SP,37.2182002,-76.5018951,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71307E+14,371307076360401,58FS  7,SP,37.21875696,-76.600787,NAD83,51,VA,95,YORKTOWN,2080206
USGS,3.71315E+14,371315076293601,59FS  2,SP,37.2209778,-76.4930059,NAD83,51,VA,199,POQUOSON WEST,2080206
USGS,3.71321E+14,371321076312601,58FS 43,SP,37.22264487,-76.5235624,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.7133E+14,371330076305501,58FS 17,SP,37.2251447,-76.514951,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71331E+14,371331076303801,58FS 51,SP,37.22542244,-76.51022869,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71338E+14,371338076365601,58FS  9,SP,37.22736815,-76.6152319,NAD83,51,VA,95,YORKTOWN,2080206
USGS,3.71338E+14,371338076370101,58FS  8,SP,37.22736816,-76.61662088,NAD83,51,VA,95,YORKTOWN,2080206
USGS,3.71344E+14,371344076323801,58FS 29,SP,37.2290339,-76.543563,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71355E+14,371355076310101,58FS 15,SP,37.23208909,-76.5168956,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71355E+14,371355076311001,58FS 40,SP,37.2320891,-76.5191178,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71402E+14,371402076313901,58FS 38,SP,37.23403364,-76.5271736,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71403E+14,371403076313401,58FS 37,SP,37.23431139,-76.5257847,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71406E+14,371406076373901,57FS  1,SP,37.23514599,-76.6271767,NAD83,51,VA,199,HOG ISLAND,2080107
USGS,3.71409E+14,371409076324301,58FS 13,SP,37.23597828,-76.544952,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71409E+14,371409076324401,58FS 10,SP,37.23597828,-76.5452298,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71411E+14,371411076323601,58FS 11,SP,37.2365338,-76.5430075,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71413E+14,371413076345701,58FS  1,SP,37.23708984,-76.5821753,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71424E+14,371424076351301,58FS  3,SP,37.2401454,-76.5866199,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71434E+14,371434076321401,58FS 12,SP,37.2429225,-76.5368962,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71434E+14,371434076351401,58FS  2,SP,37.24292316,-76.5868977,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71436E+14,371436076340001,58FS  5,SP,37.24347845,-76.5663415,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.7145E+14,371450076325301,58FS  4,SP,37.24736705,-76.5477298,NAD83,51,VA,199,YORKTOWN,2080107
VA087,3.71457E+14,371457079563601,VA2770750 CRYSTAL SPRING       CRYSTAL SPRING,SP,37.24916667,-79.9433333,NAD83,51,VA,770,,3010101
USGS,3.71522E+14,371522076340301,58GS  2,SP,37.256256,-76.5671748,NAD83,51,VA,199,CLAY BANK,2080107
USGS,3.71524E+14,371524076480801,56GS  3,SP,37.25659167,-76.801925,NAD83,51,VA,95,NORGE,2080206
USGS,3.71539E+14,371539076452501,56GS  1,SP,37.26098067,-76.7566253,NAD83,51,VA,95,NORGE,2080206
USGS,3.71542E+14,371542081552401,15G 51,SP,37.26177868,-81.9231782,NAD83,51,VA,27,PATTERSON,5070202
USGS,3.71611E+14,371611076354101,58GS  1,SP,37.26986726,-76.5943979,NAD83,51,VA,199,CLAY BANK,2080107
USGS,3.7224E+14,372240080462501,RED SULPHUR SPRINGS1,SP,37.37762176,-80.772019,NAD83,54,VA,71,PETERSTOWN,5050002
USGS,3.72615E+14,372615077175701,52HS  1,SP,37.4377333,-77.2989974,NAD83,51,VA,87,DUTCH GAP,2080206
USGS,3.72634E+14,372634079355201,34HS  1,SP,37.44291524,-79.5978136,NAD83,51,VA,19,PEAKS OF OTTER,3010101
USGS,3.72651E+14,372651079370401,34HS  2,SP,37.44763708,-79.6175363,NAD83,51,VA,19,PEAKS OF OTTER,3010101
USGS,3.72741E+14,372741077054001,54HS  1,SP,37.4615352,-77.09413718,NAD83,51,VA,127,PROVIDENCE FORGE VA,2080206
USGS,3.72741E+14,372741077054002,54HS  2,SP,37.4615352,-77.09413718,NAD83,51,VA,127,PROVIDENCE FORGE VA,2080206
USGS,3.72741E+14,372741077054003,54HS  3,SP,37.4615352,-77.09413718,NAD83,51,VA,127,PROVIDENCE FORGE VA,2080206
USGS,3.72934E+14,372934077035801,54HS  4,SP,37.492675,-77.0662056,NAD83,51,VA,127,PROVIDENCE FORGE,2080206
USGS,3.7311E+14,373110079300401,34JS  1,SP,37.5195813,-79.5008688,NAD83,51,VA,19,ARNOLD VALLEY,3010101
USGS,3.73351E+14,373351079285601,34HS  3,SP,37.48208138,-79.56420269,NAD83,51,VA,19,PEAKS OF OTTER,3010101
USGS,3.75027E+14,375027079093001,37LS  1,SP,37.84096886,-79.1580854,NAD83,51,VA,163,MONTEBELLO,2080202
USGS,3.75055E+14,375055079284001,35LS  1,SP,37.8487417,-79.47753959,NAD83,51,VA,163,LEXINGTON,2080202
USGS,3.75203E+14,375203079085501,37LS  2,SP,37.8676354,-79.14836288,NAD83,51,VA,125,MONTEBELLO,2080203
USGS,3.75306E+14,375306079001401,38MS  1,SP,37.8851386,-79.0036362,NAD83,51,VA,15,BIG LEVELS,2070005
USGS,3.75524E+14,375524078575801,39MS  3,SP,37.92347189,-78.96585748,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.75603E+14,375603078542101,39MS  1,SP,37.949861,-78.9053007,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.75652E+14,375652078545701,39MS  2,SP,37.9479165,-78.9155787,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.75807E+14,375807077322201,50MS001,SP,37.96874896,-77.5391504,NAD83,51,VA,33,HEWLETT,2080105
USGS,3.7581E+14,375810077320901,50MS002,SP,37.96958224,-77.5355391,NAD83,51,VA,33,HEWLETT,2080105
USGS,3.75812E+14,375812078535201,39MS  4,SP,37.9701386,-78.8975229,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.80056E+14,380056078095201,45NS  1,SP,38.015695,-78.1641693,NAD83,51,VA,109,BOSWELLS TAVERN,2080106
USGS,3.80124E+14,380124077524801,47NS  1,SP,38.0235278,-77.8797199,NAD83,51,VA,109,MINERAL,2080106
USGS,3.8014E+14,380140077350301,50W 82G,SP,38.02791444,-77.5838743,NAD83,51,VA,107,LEESBURG,2070008
USGS,3.80255E+14,380255079195601,36NS  2,SP,38.04878517,-79.3320504,NAD83,51,VA,15,AUGUSTA SPRINGS,2080202
USGS,3.80311E+14,380311078555201,39NS  1,SP,38.05291675,-78.9315132,NAD83,51,VA,15,WAYNESBORO WEST,2070005
USGS,3.80313E+14,380313079465201,32NS  1,SP,38.05373695,-79.7808844,NAD83,51,VA,17,WARM SPRINGS,2080201
USGS,3.80331E+14,380331078533301,39NS  4,SP,38.0587474,-78.89224589,NAD83,51,VA,15,WAYNESBORO WEST,2070005
USGS,3.80336E+14,380336078533401,39NS  5,SP,38.060414,-78.8925237,NAD83,51,VA,820,WAYNESBORO WEST,2070005
USGS,3.80516E+14,380516077211801,52NS  2,SP,38.087875,-77.3549694,NAD83,51,VA,33,BOWLING GREEN,2080105
USGS,3.80517E+14,380517077211601,52NS  1,SP,38.0879472,-77.3543806,NAD83,51,VA,33,BOWLING GREEN,2080105
USGS,3.80533E+14,380533078531001,39NS  3,SP,38.0906908,-78.881135,NAD83,51,VA,15,WAYNESBORO WEST,2070005
USGS,3.80553E+14,380553077083901,53NS  8,SP,38.09815278,-77.1441944,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80555E+14,380555077085101,53NS  7,SP,38.0987472,-77.1476167,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80611E+14,380611079191201,36NS  1,SP,38.10318449,-79.3197588,NAD83,51,VA,15,AUGUSTA SPRINGS,2080202
USGS,3.80631E+14,380631077084901,53NS  5,SP,38.10869444,-77.1470833,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80631E+14,380631077084902,53NS  6,SP,38.10872778,-77.1469917,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80653E+14,380653077121201,53NS  1,SP,38.11473056,-77.203325,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80726E+14,380726077120501,53NS  4,SP,38.12399167,-77.2013417,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80728E+14,380728077120101,53NS  2,SP,38.12441389,-77.2002417,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80728E+14,380728077120401,53NS  3,SP,38.1244083,-77.200975,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80819E+14,380819077120401,53PS  1,SP,38.13859167,-77.2011417,NAD83,51,VA,33,PORT ROYAL,2080104
USGS,3.80925E+14,380925079051501,38PS  3,SP,38.15707565,-79.0875298,NAD83,51,VA,790,STAUNTON,2070005
USGS,3.81006E+14,381006077164201,52PS  4,SP,38.16823889,-77.27828889,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81009E+14,381009077164101,52PS  3,SP,38.169075,-77.27806389,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81014E+14,381014077165901,52PS  1,SP,38.17061667,-77.28298889,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81019E+14,381019077164201,52PS  2,SP,38.17200278,-77.2782194,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81108E+14,381108076551101,55PS  1,SP,38.18568624,-76.9194142,NAD83,51,VA,193,COLONIAL BEACH SOUTH,2070011
USGS,3.81138E+14,381138079241901,35PS  1,SP,38.19207114,-79.4050403,NAD83,51,VA,15,DEERFIELD,2080202
USGS,3.81152E+14,381152077171301,52PS  9,SP,38.1977583,-77.28692778,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81158E+14,381158077172301,52PS  7,SP,38.19946944,-77.28981389,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81158E+14,381158077172601,52PS  5,SP,38.1994833,-77.29047778,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81158E+14,381158077172602,52PS  6,SP,38.19950278,-77.2905111,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81205E+14,381205077172101,52PS  8,SP,38.20135278,-77.2892333,NAD83,51,VA,33,RAPPAHANNOCK ACADEMY,2080104
USGS,3.81225E+14,381225079021001,38PS  2,SP,38.20707496,-79.0358624,NAD83,51,VA,15,STAUNTON,2070005
USGS,3.81315E+14,381315079065201,38PS  1,SP,38.22124038,-79.11475369,NAD83,51,VA,15,STAUNTON,2070005
USGS,3.81822E+14,381822078551801,39QS  1,SP,38.30623934,-78.92141628,NAD83,51,VA,15,MOUNT SIDNEY,2070005
USGS,3.82229E+14,382229078014601,46Q  4C,SP,38.37485136,-78.029165,NAD83,51,VA,47,RAPIDAN,2080103
USGS,3.82402E+14,382402078501301,40RS  1,SP,38.4006813,-78.8366923,NAD83,51,VA,165,HARRISONBURG,2070005
USGS,3.82415E+14,382415078361101,42RS  2,SP,38.40429327,-78.603071,NAD83,51,VA,165,ELKTON EAST,2070005
USGS,3.82639E+14,382639078370601,42RS  1,SP,38.4356813,-78.6186271,NAD83,51,VA,165,ELKTON EAST,2070005
USGS,3.82902E+14,382902077503001,48R  3A,SP,38.4840147,-77.84138289,NAD83,51,VA,47,GERMANNA BRIDGE,2080103
USGS,3.82948E+14,382948078575301,39RS  1,SP,38.4968,-78.9647611,NAD83,24,VA,165,BRIDGEWATER,2070005
USGS,3.83136E+14,383136078563401,39SS  3,SP,38.52675278,-78.9429806,NAD83,24,VA,165,SINGERS GLEN,2070005
USGS,3.83149E+14,383149078570401,39SS-005,SP,38.53027778,-78.9511111,NAD83,24,VA,165,SINGERS GLEN,2070001
USGS,3.83216E+14,383216078572801,39SS  1,SP,38.53789946,-78.9575295,NAD83,51,VA,165,SINGERS GLEN,2070005
USGS,3.83234E+14,383234078553201,39SS  2,SP,38.54278889,-78.9255917,NAD83,24,VA,165,SINGERS GLEN,2070005
USGS,3.83255E+14,383255078561901,39SS  4,SP,38.5486111,-78.9386111,NAD83,24,VA,165,SINGERS GLEN,2070005
USGS,3.83334E+14,383334077220201,52SS  3,SP,38.5595652,-77.3669276,NAD83,51,VA,153,QUANTICO,2070011
USGS,3.83338E+14,383338077204301,52SS  2,SP,38.5606761,-77.3449828,NAD83,51,VA,153,QUANTICO,2070010
USGS,3.83342E+14,383342077220601,52SS  1,SP,38.5617874,-77.3680388,NAD83,51,VA,153,QUANTICO,2070010
USGS,3.83433E+14,383433077252201,51SS  7,SP,38.5787318,-77.4224844,NAD83,51,VA,153,JOPLIN,2070010
USGS,3.83441E+14,383441077250801,51SS  2,SP,38.57817624,-77.4185955,NAD83,51,VA,153,JOPLIN,2070010
USGS,3.83443E+14,383443077250401,51SS  1,SP,38.57789846,-77.4172065,NAD83,51,VA,153,JOPLIN,2070010
