site_number,nitrate,GPM,state
392939077454501,,,MD
392943076442601,,,MD
392946076504101,,,MD
392946077270301,,,MD
392948076411401,,,MD
392949077304301,,,MD
392949077455601,,,MD
392950077431601,,,MD
392957077455001,,,MD
393001077470301,,,MD
393023077223501,,,MD
393024077374201,,,MD
393024077374202,,,MD
393025077215601,,,MD
393027077205701,,,MD
393030077215501,,,MD
393034077391901,,,MD
393035077205101,,,MD
393053076220101,,,MD
393054077045601,2.35,,MD
393057077374601,,,MD
393057077415901,,,MD
393057077453401,,,MD
393102076215801,,,MD
393104076425401,0.07,,MD
393104077215101,,,MD
393107077195201,,,MD
393108077195901,,,MD
393111077373901,,,MD
393123077484701,,,MD
393125077210601,,,MD
393125077484901,,,MD
393125077485001,,,MD
393125077485101,,,MD
393129077175001,,,MD
393131077471401,,,MD
393132077471401,,,MD
393136077362401,,,MD
393140077361301,,,MD
393141077180001,,,MD
393142077473301,,,MD
393147077433801,,,MD
393153076395701,0.06,,MD
393158076401101,4.1,,MD
393212076365901,2.38,,MD
393214077151501,,,MD
393214077483801,,,MD
393214077483802,,,MD
393218077271001,0.4,,MD
393219077484501,,,MD
393220077063301,,,MD
393221077415901,,,MD
393225077023801,2,,MD
393225077443401,,,MD
393230077444201,,,MD
393232076451801,,,MD
393233077483001,,,MD
393239077410501,,,MD
393241077363101,,,MD
393246077312701,,,MD
393246077351801,,,MD
393247077365701,,,MD
393247077444901,,,MD
393248079074901,,,MD
393253077492401,,,MD
393254079134301,,,MD
393258077363701,0.32,,MD
393258077451201,,,MD
393300077455001,,,MD
393301077385201,,,MD
393302077455201,,,MD
393303077454901,,,MD
393308077020901,,,MD
393309077392201,8.8,,MD
393310077392201,,,MD
393312076415501,1.8,,MD
393314077512501,4.7,,MD
393314077512801,,,MD
393315077443001,,,MD
393321077020301,,,MD
393321077240501,,,MD
393323077384901,,,MD
393323079131101,,,MD
393328079122801,,,MD
393334077440801,,,MD
393334079124601,,,MD
393334079125301,,,MD
393337077402201,,,MD
393341077312501,,,MD
393343077382101,,,MD
393346077382801,,,MD
393346077471201,,,MD
393350078391601,,,MD
393355078392301,,,MD
393359079122601,,,MD
393401077364701,,,MD
393403076414701,5.1,,MD
393416077492201,,,MD
393424076435001,0.63,,MD
393426077452901,,,MD
393427077453302,,,MD
393428078435101,,,MD
393432078591901,,,MD
393436077351901,,,MD
393436077352201,,,MD
393436079041801,,,MD
393438078420601,0.115,,MD
393444077391801,,,MD
393445077381001,,,MD
393448077104701,,,MD
393448077260202,,,MD
393448077374501,,,MD
393450077445401,,,MD
393451077375601,,,MD
393451077380001,,,MD
393452077380501,,,MD
393458079113401,,,MD
393459076045001,1,,MD
393512077313201,,,MD
393514077324801,,,MD
393520077404701,,,MD
393522077381901,5.72,,MD
393522077382301,,,MD
393523077381901,,,MD
393525078595801,,,MD
393525078595802,0.53,,MD
393529077015501,,,MD
393532077474201,,,MD
393533077474101,,,MD
393533077474301,,,MD
393534077474201,,,MD
393537076381601,,,MD
393537077472701,,,MD
393540077470801,,,MD
393541077033801,3.3,,MD
393541077470601,,,MD
393543077353301,,,MD
393544077353301,,,MD
393547077360201,,,MD
393548077485901,,,MD
393552077481001,,,MD
393556078401201,,,MD
393601076075401,,,MD
393601077364601,,,MD
393601077364701,,,MD
393601077365301,,,MD
393605077365401,,,MD
393607077365701,,,MD
393610077452801,,,MD
393610077475801,,,MD
393613077452301,,,MD
393613077452501,,,MD
393613077452801,,,MD
393613077452802,,,MD
393615077491401,,,MD
393620077253101,,,MD
393623077260001,,,MD
393634077235101,,,MD
393637077490201,,,MD
393639076480601,7.5,,MD
393639078002301,,,MD
393643077490001,,,MD
393646079093601,,,MD
393647077515701,,,MD
393648077500201,,,MD
393654077224701,,,MD
393655077520301,,,MD
393657077364001,,,MD
393702079012401,,,MD
393704076072801,,,MD
393708076080001,,,MD
393708076345501,9.64,,MD
393714077560401,,,MD
393718077545601,,,MD
393719077545501,,,MD
393719077585201,,,MD
